station,gage_number,timestamp,elevation_ft
"Burlington, VT",04294500,2022-04-30T04:00:00Z,99.2
"Burlington, VT",04294500,2022-04-30T04:15:00Z,99.19
"Burlington, VT",04294500,2022-04-30T04:30:00Z,99.19
"Burlington, VT",04294500,2022-04-30T04:45:00Z,99.19
"Burlington, VT",04294500,2022-04-30T05:00:00Z,99.19
"Burlington, VT",04294500,2022-04-30T05:15:00Z,99.18
"Burlington, VT",04294500,2022-04-30T05:30:00Z,99.18
"Burlington, VT",04294500,2022-04-30T05:45:00Z,99.18
"Burlington, VT",04294500,2022-04-30T06:00:00Z,99.18
"Burlington, VT",04294500,2022-04-30T06:15:00Z,99.18
"Burlington, VT",04294500,2022-04-30T06:30:00Z,99.17
"Burlington, VT",04294500,2022-04-30T06:45:00Z,99.17
"Burlington, VT",04294500,2022-04-30T07:00:00Z,99.17
"Burlington, VT",04294500,2022-04-30T07:15:00Z,99.17
"Burlington, VT",04294500,2022-04-30T07:30:00Z,99.18
"Burlington, VT",04294500,2022-04-30T07:45:00Z,99.17
"Burlington, VT",04294500,2022-04-30T08:00:00Z,99.18
"Burlington, VT",04294500,2022-04-30T08:15:00Z,99.17
"Burlington, VT",04294500,2022-04-30T08:30:00Z,99.17
"Burlington, VT",04294500,2022-04-30T08:45:00Z,99.18
"Burlington, VT",04294500,2022-04-30T09:00:00Z,99.17
"Burlington, VT",04294500,2022-04-30T09:15:00Z,99.17
"Burlington, VT",04294500,2022-04-30T09:30:00Z,99.17
"Burlington, VT",04294500,2022-04-30T09:45:00Z,99.17
"Burlington, VT",04294500,2022-04-30T10:00:00Z,99.17
"Burlington, VT",04294500,2022-04-30T10:15:00Z,99.16
"Burlington, VT",04294500,2022-04-30T10:30:00Z,99.17
"Burlington, VT",04294500,2022-04-30T10:45:00Z,99.17
"Burlington, VT",04294500,2022-04-30T11:00:00Z,99.17
"Burlington, VT",04294500,2022-04-30T11:15:00Z,99.17
"Burlington, VT",04294500,2022-04-30T11:30:00Z,99.16
"Burlington, VT",04294500,2022-04-30T11:45:00Z,99.17
"Burlington, VT",04294500,2022-04-30T12:00:00Z,99.18
"Burlington, VT",04294500,2022-04-30T12:15:00Z,99.18
"Burlington, VT",04294500,2022-04-30T12:30:00Z,99.16
"Burlington, VT",04294500,2022-04-30T12:45:00Z,99.16
"Burlington, VT",04294500,2022-04-30T13:00:00Z,99.17
"Burlington, VT",04294500,2022-04-30T13:15:00Z,99.17
"Burlington, VT",04294500,2022-04-30T13:30:00Z,99.16
"Burlington, VT",04294500,2022-04-30T13:45:00Z,99.17
"Burlington, VT",04294500,2022-04-30T14:00:00Z,99.14
"Burlington, VT",04294500,2022-04-30T14:15:00Z,99.15
"Burlington, VT",04294500,2022-04-30T14:30:00Z,99.15
"Burlington, VT",04294500,2022-04-30T14:45:00Z,99.14
"Burlington, VT",04294500,2022-04-30T15:00:00Z,99.13
"Burlington, VT",04294500,2022-04-30T15:15:00Z,99.14
"Burlington, VT",04294500,2022-04-30T15:30:00Z,99.13
"Burlington, VT",04294500,2022-04-30T15:45:00Z,99.13
"Burlington, VT",04294500,2022-04-30T16:00:00Z,99.14
"Burlington, VT",04294500,2022-04-30T16:15:00Z,99.13
"Burlington, VT",04294500,2022-04-30T16:30:00Z,99.14
"Burlington, VT",04294500,2022-04-30T16:45:00Z,99.12
"Burlington, VT",04294500,2022-04-30T17:00:00Z,99.14
"Burlington, VT",04294500,2022-04-30T17:15:00Z,99.14
"Burlington, VT",04294500,2022-04-30T17:30:00Z,99.13
"Burlington, VT",04294500,2022-04-30T17:45:00Z,99.13
"Burlington, VT",04294500,2022-04-30T18:00:00Z,99.13
"Burlington, VT",04294500,2022-04-30T18:15:00Z,99.12
"Burlington, VT",04294500,2022-04-30T18:30:00Z,99.11
"Burlington, VT",04294500,2022-04-30T18:45:00Z,99.12
"Burlington, VT",04294500,2022-04-30T19:00:00Z,99.12
"Burlington, VT",04294500,2022-04-30T19:15:00Z,99.09
"Burlington, VT",04294500,2022-04-30T19:30:00Z,99.12
"Burlington, VT",04294500,2022-04-30T19:45:00Z,99.13
"Burlington, VT",04294500,2022-04-30T20:00:00Z,99.11
"Burlington, VT",04294500,2022-04-30T20:15:00Z,99.11
"Burlington, VT",04294500,2022-04-30T20:30:00Z,99.1
"Burlington, VT",04294500,2022-04-30T20:45:00Z,99.11
"Burlington, VT",04294500,2022-04-30T21:00:00Z,99.11
"Burlington, VT",04294500,2022-04-30T21:15:00Z,99.12
"Burlington, VT",04294500,2022-04-30T21:30:00Z,99.1
"Burlington, VT",04294500,2022-04-30T21:45:00Z,99.11
"Burlington, VT",04294500,2022-04-30T22:00:00Z,99.11
